paper_id	triage_category	is_core_for_modeling	main_track	target_product_type	quote_grounded	rationale	evidence_quote	error	model	run_id
bovine-myoblast-cell-production-in-a-microcarriers-based-system	A	yes	bioprocess	muscle	no	Directly addresses scaling of bovine myoblast culture using microcarriers in stirred bioreactors, with extractable quantitative data on microcarrier comparison, bead-to-bead transfer, and harvesting efficiency, all relevant to culture medium optimization for cultivated meat.	We use a spinner flask system with cells grown on microcarriers to optimize the growth of bovine myoblasts... provide proof of principle that bovine myoblasts can be cultured on microcarriers... provide direct evidence that bovine myoblasts display bead-to-bead transfer... results provide valuable d		deepseek-chat	20260715T010026
chick-embryo-extract-driven-culture-system-enhances-chicken-muscle-satellite-cel	A	yes	medium	muscle	yes	Directly relevant to culture medium development for cultivated meat, with extractable quantitative data on CEE as a serum substitute, including proliferation rates, differentiation markers, and 3D scaffold integration.	CMSCs cultured in 30% CEE + 3% HS-containing differentiation medium (CEE + 3%HS-DM) showed higher expression of myogenic differentiation markers and formed thicker myotubes compared to the CMSCs cultured in the 5% fetal bovine serum (FBS)-containing differentiation medium (5% FBS-DM).		deepseek-chat	20260715T010026
citrus-sunki-peel-extract-enhances-proliferation-and-differentiation-of-fibro-ad	A	yes	medium	fat	no	Directly relevant to cultivated meat medium development: tests a food-grade natural extract (Citrus sunki peel) as a serum-free supplement to enhance proliferation and adipogenic differentiation of fibro-adipogenic progenitors, with quantitative dose-response data (cell counts, MTS, gene/protein exp	the addition of CPE (especially 100 µg/mL) enhanced the proliferation and differentiation of FAP of Holstein cattle for cultured meat development.		deepseek-chat	20260715T010026
considerations-for-the-development-of-cost-effective-cell-culture-media-for-cult	A	yes	medium	muscle-fat hybrid	no	Directly addresses cost-effective, food-grade, serum-free culture medium design for cultivated meat, with extractable quantitative and mechanistic insights from metabolic pathways and fermentation optimization principles.	Successful production of cultivated meat requires media that is food-grade with minimal cost, can regulate large scale cell proliferation and differentiation, has acceptable sensory qualities, and is animal ingredient-free. Much insight into strategies for achieving media formulations with these qua		deepseek-chat	20260715T010026
cradle-to-production-gate-life-cycle-assessment-of-cultured-meat-growth-media-a	A	yes	medium	general/platform	no	Directly compares two defined culture media (Essential 8 and Beefy-9) for cultivated meat, provides quantitative LCA data on environmental metrics (cumulative energy demand, global warming potential), and includes scenario analysis on refinement levels—all extractable for medium-centered modeling.	This study provides an environmental assessment of two proposed growth mediums (Essential 8TM and Beefy-9) for ACBM production. The study found that the addition of antibiotics/antimycotics (10,000 μg/mL) to the growth media increased the environmental metrics, such as the cumulative energy demand a		deepseek-chat	20260715T010026
development-of-a-chemically-defined-medium-for-in-vitro-expansion-of-primary-bov	A	yes	medium	muscle	no	Directly develops a chemically defined, serum-free medium for bovine satellite cells with quantitative growth data (97% of serum-containing control), detailed formulation, and stepwise optimization—core for medium-centered review.	the SFM formulation supported exponential cell growth up to 97% of the serum—containing golden standard growth medium. All reagents used in this study are chemically defined.		deepseek-chat	20260715T010026
development-of-a-normal-porcine-cell-line-growing-in-a-heme-supplemented-serum-f	A	yes	medium	muscle-fat hybrid	no	Directly addresses serum-free culture medium development for cultivated meat using a heme-supplemented, bacterial-extract-based approach, with quantitative data on heme concentrations, cytotoxicity thresholds, and adaptation protocols. Provides extractable mechanistic detail (RNA-seq, marker genes C	This study introduced a bacterial extract generated from Corynebacterium that was selected for high-heme expression by directed evolution. ... When we reduced serum serially from 2% to serum free, we derived the PK15H subpopulation that was transiently maintained with 5–10 mM heme extract.		deepseek-chat	20260715T010026
development-of-a-sustainable-strategy-for-cultured-fat-production-based-on-serum	A	yes	medium	fat	no	Directly addresses serum-free medium formulation for bovine adipose stem cells with quantitative proliferation and triglyceride accumulation data, and combines it with 3D spheroid culture, making it highly relevant for medium-centered extraction.	a serum-free medium (SFM) formulation for the cultivation of bovine adipose-derived stem cells (bASC) was first validated...the SFM increased bASC proliferation by 20% and triglyceride accumulation by 66%...resulted in up to 34% higher triglyceride accumulation compared to 2D cultures.		deepseek-chat	20260715T010026
development-of-serum-free-and-grain-derived-nutrient-free-medium-using-microalga	A	yes	medium	muscle	no	Directly addresses the core medium-centered challenge of replacing FBS and grain-derived nutrients with microalgal extracts and cell-secreted growth factors, providing quantitative extraction data and proliferation results for bovine myoblasts.	Here, we developed a novel medium containing nutrients extracted from microalga and cell-secreted growth factors... This serum-free and grain-derived-nutrient-free medium promoted the proliferation of bovine myoblasts, the main cell source for cultured beef.		deepseek-chat	20260715T010026
edible-mycelium-as-proliferation-and-differentiation-support-for-anchorage-depen	A	yes	scaffold	muscle	no	Directly relevant to cultivated meat technology with extractable quantitative data on edible mycelium carriers supporting proliferation and differentiation of C2C12 myoblasts and bovine satellite cells, which is core for medium-centered scaffold and bioprocess optimization.	C2C12 myoblasts effectively differentiated on mycelium carriers when induced in myogenic differentiation media. Mycelium carriers also supported proliferation and differentiation of bovine satellite cells.		deepseek-chat	20260715T010026
effect-of-crude-polysaccharides-from-ecklonia-cava-hydrolysate-on-cell-prolifera	A	yes	medium	muscle	no	Directly evaluates a food-grade, seaweed-derived polysaccharide supplement (ECC_CPS) as a serum-free additive to enhance both proliferation and differentiation of bovine muscle stem cells for cultured meat, providing quantitative data on cell viability, migration index, and gene expression markers.	ECC_CPS increased cell viability during the proliferation of Hanwoo muscle satellite cells (HMSCs)... Treatment with ECC_CPS promoted differentiation at the cell differentiation stage, thereby increasing the expression of differentiation markers, such as MYH2, MYH7, and MYOG (p < 0.001 or p < 0.01).		deepseek-chat	20260715T010026
effect-of-glucose-and-lysine-supplementation-on-myogenic-and-adipogenic-gene-exp	A	yes	medium	muscle	yes	Directly investigates glucose and lysine supplementation effects on bovine muscle satellite cell proliferation and differentiation, with quantitative gene expression data and factorial design, providing extractable medium-composition insights for cultivated meat.	This study delved into how varied glucose and lysine levels affect gene expression patterns in Hanwoo MSC. MSC from 9 Hanwoo... treated with six combinations of glucose (5.5 and 25 mM) and lysine (2, 4, and 8 mM). Analysis of myogenic and adipogenic genes...		deepseek-chat	20260715T010026
effect-of-igf1-on-myogenic-proliferation-and-differentiation-of-bovine-skeletal	A	yes	medium	muscle	no	Directly investigates IGF1 regulation of bovine satellite cell proliferation/differentiation via PI3K/AKT signaling, providing quantitative data on MyHC and MyoG expression changes with overexpression/knockdown, which is extractable for medium optimization.	The results revealed that the lentivirus overexpressing the IGF1 gene significantly increased the expression of MyHC and MyoG, whereas the expression of both the MyHC and MyoG mRNAs and proteins was strongly reduced by si-IGF1.		deepseek-chat	20260715T010026
effect-of-serum-and-oxygen-on-the-in-vitro-culture-of-hanwoo-korean-native-cattl	A	yes	medium	muscle	no	Directly relevant to cultivated meat medium optimization: systematically tests serum reduction (5-20% FBS) under hypoxia (5% O2) in Hanwoo cattle myogenic cells, providing extractable quantitative data on proliferation, gene expression, and differentiation. The finding that 5% hypoxia reduces serum 	In fetal bovine serum (FBS) groups, hypoxia induction doubled cell number, and the 20% FBS/normoxia group exhibited similar cell numbers as 5% FBS/5% hypoxia, confirming that 5% hypoxia reduced serum requirement by four-fold.		deepseek-chat	20260715T010026
effects-of-hypoxia-on-proliferation-and-differentiation-in-belgian-blue-and-hanw	A	yes	medium	muscle	no	Directly investigates oxygen tension (hypoxia vs normoxia) as a culture condition for bovine satellite cell proliferation and differentiation, providing quantitative data on cell counts, mRNA expression, and myotube morphology that are extractable for medium optimization in cultivated meat.	The satellite cell niche is closer to hypoxic (2% O2) than normoxic (20% O2) conditions. The aim of this study was to investigate the efficient oxygen conditions of myosatellite cell cultures for the production of cultured meat. The bovine satellite cell counts and mRNA (Pax7, Myf5 and HIF1α) levels		deepseek-chat	20260715T010026
enhancing-recombinant-growth-factor-and-serum-protein-production-for-cultivated	A	yes	medium	general/platform	no	Directly addresses cost reduction of recombinant growth factors and serum proteins for serum-free cultivated meat media, with extractable strategies on yield enhancement, purification, stability, and bioprocess optimization.	The commercial growth factors (GFs) and serum proteins (SPs) contribute to the high cost associated with the serum-free media for cultivated meat production. Producing recombinant GFs and SPs in scale from microbial cell factories can reduce the cost of culture media.		deepseek-chat	20260715T010026
environmental-impacts-of-producing-culture-medium-consisting-of-serum-free-food	A	yes	medium	general/platform	yes	Directly addresses culture medium composition (serum-free, food-grade, complex ingredients) for cultivated meat and provides quantitative LCA data with hotspot analysis, making it core for medium-centered extraction.	This study quantitatively evaluated and analyzed the environmental impact of producing a culture medium consisting of serum-free, food and complex ingredients for cultivated meat by performing a life cycle assessment (LCA) based on activity data at the laboratory scale.		deepseek-chat	20260715T010026
environmental-life-cycle-assessment-of-recombinant-growth-factor-production-for	A	yes	medium	general/platform	yes	Directly addresses a critical gap in cultivated meat LCA by providing primary, non-proprietary life cycle inventories for four recombinant growth factors (IGF-1, FGF, TGF-ß, PDGF) used in serum-free media, with extractable quantitative GWP values per mg.	the global warming potential of production of 1 mg of IGF-1, FGF, TGF-ß, and PDGF was estimated to be 0.1, 0.04, 0.2 and 0.2 kg CO2 eq, respectively.		deepseek-chat	20260715T010026
evaluating-the-efficacy-of-serum-free-media-supplemented-with-protein-isolates-f	A	yes	medium	muscle	no	Directly evaluates serum-free media supplemented with protein isolates (alfalfa, algae, silkworm pupae, grasshopper) for bovine satellite cell proliferation, with quantitative fold-change data and metabolite monitoring, making it core medium-centered literature.	a lower concentration of alfalfa protein isolate (0.05 mg/mL) significantly enhanced cell proliferation, achieving a 1.47-fold increase compared to basal media, thereby demonstrating its potential as a viable alternative to fetal bovine serum (FBS)		deepseek-chat	20260715T010026
exploring-cost-reduction-strategies-for-serum-free-media-development	A	yes	medium	general/platform	no	Directly addresses cost reduction strategies for serum-free media in cultivated meat, with extractable quantitative detail (e.g., cost breakdowns, specific formulations like Beefy-9, and component optimization methods).	SFM makes up at least 50% of variable operating costs in cultivated meat manufacturing... In the Essential 8 medium, nearly 98% of the media cost can be attributed to FGF-2 and TGF-β... the cost of the SFM beefy-9 is largely driven by key components like albumin, FGF-2, and insulin, collectively rep		deepseek-chat	20260715T010026
extracellular-heme-proteins-influence-bovine-myosatellite-cell-proliferation-and	A	yes	medium	muscle	no	Directly investigates the effect of heme proteins (myoglobin, hemoglobin) as medium supplements on bovine satellite cell proliferation and tissue color, providing quantitative data on proliferation, metabolic activity, and color matching to beef. This is core to culture medium optimization for culti	We found that the proliferation and metabolic activity of BSCs was significantly increased when Mb was added, while Hb had no, or a slightly negative, effect. Hb and, in particular, Mb application led to a very similar color of BAMs compared to cooked beef, which was not noticeable in groups without		deepseek-chat	20260715T010026
fetal-bovine-serum-how-to-leave-it-behind-in-the-pursuit-of-more-reliable-scienc	A	borderline	medium	general/platform	no	Directly addresses serum replacement in culture medium, a core topic for the medium-centered review, and includes a dedicated section on cultivated meat production with extractable examples of serum-free media applications.	Successful serum-free, animal-component-free, and chemically defined media applications are highlighted in this review for the cultivation of ... the production of cultivated meat, antibodies, and vaccines		deepseek-chat	20260715T010026
functional-expression-and-secretion-of-basic-fibroblast-growth-factor-in-lactoco	A	yes	medium	seafood	no	Directly addresses a core medium-centered challenge—cost reduction of growth factors for serum-free media—by providing quantitative yield data (1.97 mg/L), specific activity comparison to commercial FGF2, and a food-grade secretion system (L. lactis) with extractable process parameters (media, nisin	The final yields can be derived at 1.97 mg/L and through simple protein purification and buffer exchange. ... we were able to obtain comparable specific activity to commercial FGF2.		deepseek-chat	20260715T010026
ginsenoside-rg2-promotes-the-proliferation-and-stemness-maintenance-of-porcine-m	A	yes	medium	muscle-fat hybrid	yes	Directly relevant to cultivated meat medium development: identifies a natural, food-grade small molecule (ginsenoside Rg2) that promotes proliferation, inhibits senescence, and maintains stemness of porcine MSCs via autophagy induction, with quantitative assays (MTT, EdU) and mechanistic detail (AMP	Rg2 was found to promote the proliferation of pMSCs using MTT assay and EdU staining. ... Rg2 increased autophagic activity via the AMPK signaling pathway. Furthermore, long-term culture with Rg2 promoted the proliferation, inhibited the replicative senescence, and maintained the stemness of pMSCs.		deepseek-chat	20260715T010026
improving-the-safety-of-cultured-meat-using-basal-medium-prepared-using-food-ing	A	yes	medium	muscle	yes	Core literature directly relevant to culture medium development for cultivated meat, providing extractable quantitative detail on formulation of a food-grade basal medium (FG-DMEM) and its performance in proliferation and differentiation of C2C12 and bovine primary muscle cells.	In this study, we designed food-grade-Dulbecco’s Modified Eagle’s Medium (FG-DMEM); when the cells cultured in FG-DMEM and regular DMEM were compared, there was no significant difference in cell growth or differentiation.		deepseek-chat	20260715T010026
in-vitro-culture-of-bovine-fibroblasts-using-select-serum-free-media-supplemente	A	borderline	medium	general/platform	no	Directly tests serum-free medium supplemented with Chlorella vulgaris extract for bovine fibroblast culture, providing quantitative growth and viability data and LC–MS molecular comparison to FBS, which is highly relevant to medium-centered cultivated meat research.	Bovine fibroblasts, cultured in serum-free media supplemented with C. vulgaris extract and just two growth factors plus insulin, showed significant growth with enhanced viability compared to control cells cultured without serum, albeit still lower than that of controls cultured with 10% FBS.		deepseek-chat	20260715T010026
influence-of-media-composition-on-the-level-of-bovine-satellite-cell-proliferati	A	yes	medium	muscle	yes	Directly investigates culture medium composition (glucose, serum type, bFGF) for bovine satellite cell proliferation with quantitative proliferation data and qPCR gene expression analysis, providing extractable values for medium optimization in cultivated meat.	The results showed significant positive effects of serum type (bovine serum) and mitogenic factor (addition of 10 ng/mL bFGF) on the proliferation rate. ... a statistically higher Pax7 and Myf5 gene expression level was revealed when a low glucose medium was used (p < 0.05).		deepseek-chat	20260715T010026
intra-myocellular-lipid-enrichment-of-differentiated-bovine-satellite-cells-thro	A	yes	medium	muscle-fat hybrid	no	Directly relevant to culture medium formulation for cultivated meat, with extractable quantitative data on fatty acid supplementation in serum-free media, including concentration-dependent effects on lipid accumulation and viability.	differentiated bovine satellite cells were exposed to oleic acid, linoleic acid, linolenic acid, stearic acid, and palmitic acid, as well as designed mixtures thereof, in serum-free media		deepseek-chat	20260715T010026
investigations-into-cyanobacteria-plant-and-insect-protein-extracts-as-serum-rep	A	yes	medium	muscle	no	Directly addresses a core medium-centered challenge (serum replacement) using food-grade protein extracts from spirulina, faba bean, and mealworm, with quantitative growth data (C2C12 ~10 population doublings, 20% increase in B8 medium) and processing optimization (glycerine extraction yields 4950 µ	A serum-free medium formulation containing 2.6% v/v spirulina extract was found to support long term growth of C2C12 cells for ~10 population doublings compared to only ~2 in the control. ... This solution had a positive effect on C2C12 cells, increasing their growth by up to 20% when added to the B		deepseek-chat	20260715T010026
large-scale-expansion-of-porcine-adipose-derived-stem-cells-based-on-microcarrie	A	yes	bioprocess	fat	yes	Directly addresses large-scale expansion of adipose-derived stem cells on microcarriers for cultured fat production, with extractable quantitative details on culture conditions (stirring speed, cell density, medium composition including FGF2 and FBS) and differentiation validation.	the culture conditions of ADSCs on microcarriers (MCs) were optimized and showed that cell density of living cells reached their highest after 5 days when continuously stirring at 50 rpm		deepseek-chat	20260715T010026
low-cost-food-grade-alternatives-for-serum-albumins-in-fbs-free-cell-culture-med	A	yes	medium	muscle	no	Directly addresses a core medium-centered challenge—replacing costly serum albumin with low-cost, food-grade stabilizers—and provides quantitative cost reduction data (73% medium price reduction) and cell-line-specific performance comparisons, making it highly extractable for the knowledge base.	we provide an alternative to serum albumin, enabling up to an overall 73% reduction of medium price for certain cell lines		deepseek-chat	20260715T010026
microalgal-co-cultivation-meets-media-recycling-a-circular-pathway-to-serum-and	A	yes	medium	general/platform	no	Directly addresses medium-centered challenges (serum and amino acid reduction) with quantitative data on cost reduction (~66%) and proliferation enhancement (>2-fold), providing extractable mechanistic and economic detail for the knowledge base.	our lysate increased mammalian cell proliferation over 2-fold in reduced serum and amino acid conditions... conservatively estimating a media cost reduction by ~66%		deepseek-chat	20260715T010026
microbial-lysates-as-low-cost-serum-replacements-in-cellular-agriculture-media-f	A	yes	medium	muscle-fat hybrid	no	Directly addresses the core medium-centered challenge of replacing FBS with a low-cost, animal-free alternative, providing quantitative data on a novel microbial lysate formulation (VN40) that supports long-term growth of both bovine and fish cells.	We show that easily producible, low-cost whole-cell lysates from Vibrio natriegens can be used to create serum-free media for the long-term growth of iBSCs. The optimized medium, named 'VN40' (basal B8 media containing Vibrio natriegens lysate proteins at 40 µg/mL), outperforms previously establishe		deepseek-chat	20260715T010026
modulation-of-nutritional-composition-and-aroma-volatiles-in-cultivated-pork-fat	A	yes	medium	fat	no	Directly investigates modulation of aroma volatiles in cultivated pork fat through culture media supplementation (thiamine, methionine, myoglobin), providing quantitative VOC data and mechanistic links between media components and sensory outcomes. Core to medium-centered review.	Here, we aimed to modulate the aromatic volatile compounds in heated porcine cultivated fat cells by manipulating the media components while ensuring the preservation of robust fat differentiation. ... supplementing cells with thiamine-HCl increased its intracellular concentration and promoted the p		deepseek-chat	20260715T010026
multi-information-source-bayesian-optimization-of-culture-media-for-cellular-agr	A	yes	medium	muscle	no	Directly addresses culture medium optimization for cellular agriculture using a multi-information source Bayesian approach, with extractable quantitative results (181% more cells than commercial variant, 38% fewer experiments) and mechanistic detail on assay fusion for medium design.	we optimized a cell culture media with 14 components using a multi‐information source Bayesian optimization algorithm... able to design media with 181% more cells than a common commercial variant with a similar economic cost, while doing so in 38% fewer experiments than an efficient design‐of‐experi		deepseek-chat	20260715T010026
multi-objective-bayesian-algorithm-automatically-discovers-low-cost-high-growth	A	yes	medium	muscle	no	Directly addresses serum-free medium optimization for cultivated meat using a multi-objective Bayesian algorithm with extractable quantitative results (e.g., 23% more growth at 62.5% cost), providing high-value data for medium-centered review.	We were able to identify several media with > 100% more growth of C2C12 cells than the control, as well as a medium with 23% more growth at only 62.5% of the cost of the control.		deepseek-chat	20260715T010026
multi-response-optimization-of-defined-and-undefined-serum-free-media-for-enhanc	A	yes	medium	muscle	no	Directly relevant to cultivated-meat medium development with extractable quantitative optimization data (RSM, DOE) for serum-free formulations (LM7, LM8) specific to immortalized lamb muscle cells, including cost modeling and 3D microcarrier validation.	This study represents the first systematic, species-specific optimization of serum-free media for immortalized lamb muscle cells (ILMCs), introducing two novel formulations: LM7, a chemically defined medium... and LM8, a chemically undefined medium... Using design of experiments (DOE), response surf		deepseek-chat	20260715T010026
non-ammoniagenic-proliferation-and-differentiation-media-for-cultivated-adipose	A	yes	medium	fat	no	Directly addresses culture medium optimization for cultivated fat by developing serum-free, non-ammoniagenic proliferation and differentiation media with quantitative data on glutamine substitution, ammonia reduction, and adipogenic outcomes.	Novel serum-free proliferation and differentiation media were hence developed with the aim to suppress Amm production during expansion and adipogenesis. ... aKG based proliferation medium (PM) was the most effective in promoting and maintaining FAPs growth over several passages while the specific Am		deepseek-chat	20260715T010026
pooled-crispr-screens-identifies-key-regulators-of-bovine-stem-cell-expansion-fo	A	yes	cell	muscle-fat hybrid	no	Directly addresses a core bottleneck in cultivated meat production (bovine MSC proliferation) using a high-throughput CRISPR screen, with quantitative data on proliferation enhancement and differentiation trade-offs that are extractable for medium-centered modeling.	Using a pooled, lentiviral CRISPR knockout screen, we interrogated 3000 CRISPR guides targeting 600 genes involved in stem cell regulation or proliferation. Notably, knockouts of TP53 and PTEN significantly increased proliferation rates and delayed senescence.		deepseek-chat	20260715T010026
proliferation-and-differentiation-of-primary-bovine-myoblasts-using-chlorella-vu	A	yes	medium	muscle	no	Directly relevant to medium-centered research: the paper quantitatively evaluates Chlorella vulgaris extract as a complete replacement for conventional basal medium (DMEM) in primary bovine myoblast culture, including proliferation and differentiation data. This provides extractable value for food-g	the addition of C. vulgaris extract (CVE) significantly improved PBM viability, which was comparable to the viability in conventional culture medium (Dulbecco's modified Eagle's medium). Furthermore, by adding horse serum to induce differentiation, the formation of myotubes was confirmed when CVE we		deepseek-chat	20260715T010026
recycling-spent-animal-cell-culture-media-using-the-thermally-resistant-microalg	A	yes	medium	muscle	no	Directly addresses a core medium-centered challenge—recycling spent culture medium to reduce costs—with quantitative data on ammonia removal, algal growth, and subsequent myoblast metabolic activity, making it highly relevant and extractable for the cultivated-meat medium knowledge base.	C. sorokiniana can be grown in spent media at 37 °C, sequester ammonia, and potentially extend the lifespan of media, thereby enabling more affordable bioprocesses.		deepseek-chat	20260715T010026
review-of-the-current-research-on-fetal-bovine-serum-and-the-development-of-cult	A	borderline	medium	general/platform	no	Directly addresses FBS composition, challenges in replacement, and the need for inexpensive edible media for cultured meat industrialization, providing a comprehensive review relevant to medium-centered extraction.	Reducing or replacing media, such as fetal bovine serum (FBS), may be the most important goal for the commercialization of cultured meat. ... developing inexpensive and edible media is necessary for the successful industrialization of cultured meat.		deepseek-chat	20260715T010026
scale-up-of-an-intensified-bioprocess-for-the-expansion-of-bovine-adipose-derive	A	yes	bioprocess	muscle-fat hybrid	no	Directly relevant to cultivated meat technology with extractable quantitative data on bioprocess intensification (114-fold increase) and medium composition details (10% FBS, bFGF), making it core for medium-centered knowledge base.	growth medium comprising α‐Modified Eagle Medium (BE12‐169F; 1 g/L glucose; Lonza) supplemented with 10% (v/v) foetal bovine serum (FBS; F7524; Sigma‐Aldrich), 2 mM ultra‐glutamine (BE17‐605E/U1; Lonza) and 1 ng/ml bFGF (100‐18B; Peprotech)		deepseek-chat	20260715T010026
screening-algal-and-cyanobacterial-extracts-to-identify-potential-substitutes-fo	A	yes	medium	muscle	no	Directly addresses the core medium-centered challenge of replacing FBS with algal/cyanobacterial extracts, provides quantitative tolerance data (e.g., >10 µg/mL, 100 µg/mL), and uses a myoblast cell line (QM7) relevant to cultivated meat muscle differentiation.	Extracts derived from two microalgae species, Arthrospira platensis (Spirulina) and Dunaliella tertiolecta, demonstrated the highest tolerance in cell culture, above 10 µg/mL (expressed as total protein concentration). Tolerance at a 100 µg/mL concentration was demonstrated exclusively using an extr		deepseek-chat	20260715T010026
serum-free-media-drive-lipid-accumulation-in-porcine-satellite-cells-intended-fo	A	yes	medium	muscle-fat hybrid	no	Directly addresses serum-free medium (SFM) and fatty acid supplementation for lipid accumulation in porcine satellite cells, providing quantitative comparisons of serum conditions and fatty acid types relevant to cultivated meat medium design.	Cells cultured in reduced-serum media (2% horse serum or 2% fetal bovine serum) and a custom serum-free medium (SFM) exhibited significantly higher lipid accumulation upon exposure to oleic acid compared to those maintained in standard growth medium (10% fetal bovine serum and 10% horse serum).		deepseek-chat	20260715T010026
